Year of Date,Month of Date,State/UnionTerritory,Confirmed,Cured,Deaths,Confirmed Foreign National,Confirmed Indian National,Date,Sno,Time
2020,November,Bihar,218605,211398,1113,,,11/5/2020,8071,12/30/1899 8:00:00 AM
2020,November,Bihar,219349,211872,1121,,,11/6/2020,8106,12/30/1899 8:00:00 AM
2020,November,Bihar,220099,212452,1129,,,11/7/2020,8141,12/30/1899 8:00:00 AM
2020,November,Bihar,220936,213513,1136,,,11/8/2020,8176,12/30/1899 8:00:00 AM
2020,November,Bihar,221624,214207,1144,,,11/9/2020,8211,12/30/1899 8:00:00 AM
2020,November,Bihar,222917,215263,1151,,,11/10/2020,8246,12/30/1899 8:00:00 AM
2020,November,Bihar,223346,216097,1156,,,11/11/2020,8281,12/30/1899 8:00:00 AM
2020,November,Bihar,223917,216940,1162,,,11/12/2020,8316,12/30/1899 8:00:00 AM
2020,November,Bihar,224524,217594,1167,,,11/13/2020,8351,12/30/1899 8:00:00 AM
2020,November,Bihar,225124,218313,1174,,,11/14/2020,8386,12/30/1899 8:00:00 AM
2020,November,Bihar,225595,218689,1179,,,11/15/2020,8421,12/30/1899 8:00:00 AM
2020,November,Bihar,225901,219263,1184,,,11/16/2020,8456,12/30/1899 8:00:00 AM
2020,November,Bihar,226417,220007,1189,,,11/17/2020,8491,12/30/1899 8:00:00 AM
2020,November,Bihar,227018,220668,1194,,,11/18/2020,8526,12/30/1899 8:00:00 AM
2020,November,Bihar,227822,221272,1201,,,11/19/2020,8561,12/30/1899 8:00:00 AM
2020,November,Bihar,228511,221924,1209,,,11/20/2020,8596,12/30/1899 8:00:00 AM
2020,November,Bihar,228886,222420,1212,,,11/21/2020,8631,12/30/1899 8:00:00 AM
2020,November,Bihar,229177,222879,1216,,,11/22/2020,8666,12/30/1899 8:00:00 AM
2020,November,Bihar,229544,223484,1221,,,11/23/2020,8701,12/30/1899 8:00:00 AM
2020,November,Bihar,230094,224073,1227,,,11/24/2020,8736,12/30/1899 8:00:00 AM
2020,November,Bihar,230845,224715,1233,,,11/25/2020,8771,12/30/1899 8:00:00 AM
2020,November,Bihar,231539,225077,1237,,,11/26/2020,8806,12/30/1899 8:00:00 AM
2020,November,Bihar,232235,225602,1243,,,11/27/2020,8841,12/30/1899 8:00:00 AM
2020,November,Bihar,232916,226267,1248,,,11/28/2020,8876,12/30/1899 8:00:00 AM
2020,November,Bihar,233572,226939,1253,,,11/29/2020,8911,12/30/1899 8:00:00 AM
2020,November,Bihar,234119,227456,1259,,,11/30/2020,8946,12/30/1899 8:00:00 AM
2020,December,Bihar,234610,227987,1264,,,12/1/2020,8981,12/30/1899 8:00:00 AM
2020,December,Bihar,235152,228316,1268,,,12/2/2020,9016,12/30/1899 8:00:00 AM
2020,December,Bihar,235839,228797,1274,,,12/3/2020,9051,12/30/1899 8:00:00 AM
2020,December,Bihar,236420,229249,1281,,,12/4/2020,9086,12/30/1899 8:00:00 AM
2020,December,Bihar,237006,229883,1287,,,12/5/2020,9121,12/30/1899 8:00:00 AM
2020,December,Bihar,237552,230630,1292,,,12/6/2020,9156,12/30/1899 8:00:00 AM
2020,December,Bihar,238106,231248,1295,,,12/7/2020,9191,12/30/1899 8:00:00 AM
2020,December,Bihar,238648,231884,1297,,,12/8/2020,9226,12/30/1899 8:00:00 AM
2020,December,Bihar,239322,232563,1300,,,12/9/2020,9261,12/30/1899 8:00:00 AM
2020,December,Bihar,239955,233298,1303,,,12/10/2020,9296,12/30/1899 8:00:00 AM
2020,December,Bihar,240572,233766,1307,,,12/11/2020,9331,12/30/1899 8:00:00 AM
2020,December,Bihar,241222,234383,1312,,,12/12/2020,9367,12/30/1899 8:00:00 AM
2020,December,Bihar,241776,234958,1317,,,12/13/2020,9403,12/30/1899 8:00:00 AM
2020,December,Bihar,242224,235528,1321,,,12/14/2020,9439,12/30/1899 8:00:00 AM
2020,December,Bihar,242660,236247,1325,,,12/15/2020,9475,12/30/1899 8:00:00 AM
2020,December,Bihar,243281,236782,1329,,,12/16/2020,9511,12/30/1899 8:00:00 AM
2020,December,Bihar,243830,237267,1332,,,12/17/2020,9547,12/30/1899 8:00:00 AM
2020,December,Bihar,244386,237770,1337,,,12/18/2020,9583,12/30/1899 8:00:00 AM
2020,December,Bihar,245027,238316,1341,,,12/19/2020,9619,12/30/1899 8:00:00 AM
2020,December,Bihar,245661,239109,1347,,,12/20/2020,9655,12/30/1899 8:00:00 AM
2020,December,Bihar,246185,239693,1352,,,12/21/2020,9691,12/30/1899 8:00:00 AM
2020,December,Bihar,246568,240219,1358,,,12/22/2020,9727,12/30/1899 8:00:00 AM
2020,December,Bihar,247108,240716,1362,,,12/23/2020,9763,12/30/1899 8:00:00 AM
2020,December,Bihar,247807,241031,1368,,,12/24/2020,9799,12/30/1899 8:00:00 AM
2020,December,Bihar,248351,241546,1371,,,12/25/2020,9835,12/30/1899 8:00:00 AM
2020,December,Bihar,248945,242068,1373,,,12/26/2020,9871,12/30/1899 8:00:00 AM
2020,December,Bihar,249403,242767,1379,,,12/27/2020,9907,12/30/1899 8:00:00 AM
2020,December,Bihar,249912,243461,1383,,,12/28/2020,9943,12/30/1899 8:00:00 AM
2020,December,Bihar,250390,244076,1386,,,12/29/2020,9979,12/30/1899 8:00:00 AM
2020,December,Bihar,250928,244599,1389,,,12/30/2020,10015,12/30/1899 8:00:00 AM
2020,December,Bihar,251348,245156,1393,,,12/31/2020,10051,12/30/1899 8:00:00 AM
2021,January,Bihar,251743,245476,1397,,,1/1/2021,10087,12/30/1899 8:00:00 AM
2021,January,Bihar,252219,245874,1400,,,1/2/2021,10123,12/30/1899 8:00:00 AM
2021,January,Bihar,252584,246389,1403,,,1/3/2021,10159,12/30/1899 8:00:00 AM
2021,January,Bihar,252857,246979,1405,,,1/4/2021,10195,12/30/1899 8:00:00 AM
2021,January,Bihar,253272,247484,1408,,,1/5/2021,10231,12/30/1899 8:00:00 AM
2021,January,Bihar,253695,247929,1415,,,1/6/2021,10267,12/30/1899 8:00:00 AM
2021,January,Bihar,254014,248410,1420,,,1/7/2021,10303,12/30/1899 8:00:00 AM
2021,January,Bihar,254447,248762,1424,,,1/8/2021,10339,12/30/1899 8:00:00 AM
2021,January,Bihar,254701,249198,1428,,,1/9/2021,10375,12/30/1899 8:00:00 AM
2021,January,Bihar,255386,249709,1430,,,1/10/2021,10411,12/30/1899 8:00:00 AM
2021,January,Bihar,255700,250088,1434,,,1/11/2021,10447,12/30/1899 8:00:00 AM
2021,January,Bihar,255932,250439,1439,,,1/12/2021,10483,12/30/1899 8:00:00 AM
2021,January,Bihar,256309,250632,1443,,,1/13/2021,10519,12/30/1899 8:00:00 AM
2021,January,Bihar,256587,251027,1445,,,1/14/2021,10555,12/30/1899 8:00:00 AM
2021,January,Bihar,256895,251278,1447,,,1/15/2021,10591,12/30/1899 8:00:00 AM
2021,January,Bihar,257193,251632,1449,,,1/16/2021,10627,12/30/1899 8:00:00 AM
2021,January,Bihar,257474,251975,1453,,,1/17/2021,10663,12/30/1899 8:00:00 AM
2021,January,Bihar,257610,252331,1457,,,1/18/2021,10699,12/30/1899 8:00:00 AM
2021,January,Bihar,257775,253007,1460,,,1/19/2021,10735,12/30/1899 8:00:00 AM
2021,January,Bihar,257991,253289,1461,,,1/20/2021,10771,12/30/1899 8:00:00 AM
2021,January,Bihar,258176,253569,1464,,,1/21/2021,10807,12/30/1899 8:00:00 AM
2021,January,Bihar,258414,254023,1468,,,1/22/2021,10843,12/30/1899 8:00:00 AM
2021,January,Bihar,258513,254359,1472,,,1/23/2021,10879,12/30/1899 8:00:00 AM
2021,January,Bihar,258638,254563,1476,,,1/24/2021,10915,12/30/1899 8:00:00 AM
2021,January,Bihar,258787,254991,1479,,,1/25/2021,10951,12/30/1899 8:00:00 AM
2021,January,Bihar,258861,255019,1483,,,1/26/2021,10987,12/30/1899 8:00:00 AM
2021,January,Bihar,258996,255174,1486,,,1/27/2021,11023,12/30/1899 8:00:00 AM
2021,January,Bihar,259149,256014,1490,,,1/28/2021,11059,12/30/1899 8:00:00 AM
2021,January,Bihar,259214,256679,1492,,,1/29/2021,11095,12/30/1899 8:00:00 AM
2021,January,Bihar,259373,256857,1495,,,1/30/2021,11131,12/30/1899 8:00:00 AM
2021,January,Bihar,259496,257021,1499,,,1/31/2021,11167,12/30/1899 8:00:00 AM
2021,February,Bihar,259563,257169,1501,,,2/1/2021,11203,12/30/1899 8:00:00 AM
2021,February,Bihar,259660,257306,1503,,,2/2/2021,11239,12/30/1899 8:00:00 AM
2021,February,Bihar,259781,257474,1505,,,2/3/2021,11275,12/30/1899 8:00:00 AM
2021,February,Bihar,259858,257618,1508,,,2/4/2021,11311,12/30/1899 8:00:00 AM
2021,February,Bihar,259936,257702,1510,,,2/5/2021,11347,12/30/1899 8:00:00 AM
2021,February,Bihar,260034,257914,1512,,,2/6/2021,11383,12/30/1899 8:00:00 AM
2021,February,Bihar,260095,257971,1515,,,2/7/2021,11419,12/30/1899 8:00:00 AM
2021,February,Bihar,260270,258221,1516,,,2/8/2021,11455,12/30/1899 8:00:00 AM
2021,February,Bihar,260670,258771,1517,,,2/9/2021,11491,12/30/1899 8:00:00 AM
2021,February,Bihar,261092,259074,1518,,,2/10/2021,11527,12/30/1899 8:00:00 AM
2021,February,Bihar,261511,259234,1520,,,2/11/2021,11563,12/30/1899 8:00:00 AM
2021,February,Bihar,261568,259347,1521,,,2/12/2021,11599,12/30/1899 8:00:00 AM
2021,February,Bihar,261646,259433,1522,,,2/13/2021,11635,12/30/1899 8:00:00 AM
2021,February,Bihar,261690,259513,1524,,,2/14/2021,11671,12/30/1899 8:00:00 AM
2021,February,Bihar,261741,259591,1525,,,2/15/2021,11707,12/30/1899 8:00:00 AM
2021,February,Bihar,261785,259670,1527,,,2/16/2021,11743,12/30/1899 8:00:00 AM
2021,February,Bihar,261841,259748,1528,,,2/17/2021,11779,12/30/1899 8:00:00 AM
2021,February,Bihar,261879,259830,1529,,,2/18/2021,11815,12/30/1899 8:00:00 AM
2021,February,Bihar,261942,259898,1531,,,2/19/2021,11851,12/30/1899 8:00:00 AM
2021,February,Bihar,262009,259973,1532,,,2/20/2021,11887,12/30/1899 8:00:00 AM
2021,February,Bihar,262066,260030,1534,,,2/21/2021,11923,12/30/1899 8:00:00 AM
2021,February,Bihar,262160,260088,1535,,,2/22/2021,11959,12/30/1899 8:00:00 AM
2021,February,Bihar,262244,260147,1536,,,2/23/2021,11995,12/30/1899 8:00:00 AM
2021,February,Bihar,262303,260218,1537,,,2/24/2021,12031,12/30/1899 8:00:00 AM
2021,February,Bihar,262357,260310,1538,,,2/25/2021,12067,12/30/1899 8:00:00 AM
2021,February,Bihar,262418,260401,1539,,,2/26/2021,12103,12/30/1899 8:00:00 AM
2021,February,Bihar,262464,260493,1540,,,2/27/2021,12139,12/30/1899 8:00:00 AM
2021,February,Bihar,262509,260564,1541,,,2/28/2021,12175,12/30/1899 8:00:00 AM
2021,March,Bihar,262534,260594,1541,,,3/1/2021,12211,12/30/1899 8:00:00 AM
2021,March,Bihar,262556,260645,1541,,,3/2/2021,12247,12/30/1899 8:00:00 AM
2021,March,Bihar,262597,260687,1541,,,3/3/2021,12283,12/30/1899 8:00:00 AM
2021,March,Bihar,262628,260737,1542,,,3/4/2021,12319,12/30/1899 8:00:00 AM
2021,March,Bihar,262668,260777,1543,,,3/5/2021,12355,12/30/1899 8:00:00 AM
2021,March,Bihar,262706,260821,1544,,,3/6/2021,12391,12/30/1899 8:00:00 AM
2021,March,Bihar,262728,260849,1545,,,3/7/2021,12427,12/30/1899 8:00:00 AM
